"","author","year","title","journal"
"1","YI BYEONG-UK",2013,"CONDITIONALS AND A TWO-ENVELOPE PARADOX","JOURNAL OF PHILOSOPHY"
"2","SUAREZ MAURICIO",2013,"PROPENSITIES AND PRAGMATISM","JOURNAL OF PHILOSOPHY"
"3","SUSSMAN DAVID",2009,"FOR BADNESS' SAKE","JOURNAL OF PHILOSOPHY"
"4","PICKLES D",1995,"HOLTON ON ATTITUDE ASCRIPTIONS AND INTERMEDIATE SCOPE","MIND"
"5","HOLTON RICHARD",1995,"SOURCES AND LEAPFROGGING, REPLY TO PICKLES","MIND"
"6","WEINER JOAN",1995,"BURGE LITERAL INTERPRETATION OF FREGE","MIND"
"7","BENNETT JONATHAN",1995,"CLASSIFYING CONDITIONALS - THE TRADITIONAL WAY IS RIGHT","MIND"
"8","HORWICH PAUL",1995,"MEANING, USE AND TRUTH - ON WHETHER A USE-THEORY OF MEANING IS PRECLUDED
BY THE REQUIREMENT THAT WHATEVER CONSTITUTES THE MEANING OF A PREDICATE
BE CAPABLE OF DETERMINING THE SET OF THINGS OF WHICH THE PREDICATE IS
TRUE AND TO WHICH IT OUGHT TO BE APPLIED","MIND"
"9","KATZ BERNARD D",1995,"MAKING COMPARISONS","MIND"
"10","CHOMSKY NOAM",1995,"LANGUAGE AND NATURE","MIND"
"11","FELDMAN F",1995,"DESERT - RECONSIDERATION OF SOME RECEIVED WISDOM","MIND"
"12","HECK RICHARD G JR",1995,"THE SENSE OF COMMUNICATION","MIND"
"13","SCHIFFER STEPHEN",1995,"DESCRIPTIONS, INDEXICALS, AND BELIEF REPORTS - SOME DILEMMAS (BUT NOT
THE ONES YOU EXPECT)","MIND"
"14","NORTHCOTT ROBERT",2009,"IS ACTUAL DIFFERENCE MAKING ACTUALLY DIFFERENT?","JOURNAL OF PHILOSOPHY"
"15","EVERETT A",1994,"ABSORBING DIALETHEIA","MIND"
"16","HOPKINS ROBERT",1994,"RESEMBLANCE AND MISREPRESENTATION","MIND"
"17","KOONS RC",1994,"A NEW SOLUTION TO THE SORITES PROBLEM","MIND"
"18","ODDIE G",1994,"HARMONY, PURITY, TRUTH","MIND"
"19","LEWIS D",1994,"CHANCE AND CREDENCE - HUMEAN SUPERVENIENCE DEBUGGED","MIND"
"20","THAU M",1994,"UNDERMINING AND ADMISSIBILITY","MIND"
"21","HALL N",1994,"CORRECTING THE GUIDE TO OBJECTIVE CHANCE","MIND"
"22","FIELD HARTRY",1994,"DEFLATIONIST VIEWS OF MEANING AND CONTENT","MIND"
"23","PRICE HUW",1994,"A NEGLECTED ROUTE TO REALISM ABOUT QUANTUM-MECHANICS","MIND"
"24","AYDEDE MURAT",2009,"IS FEELING PAIN THE PERCEPTION OF SOMETHING?","JOURNAL OF PHILOSOPHY"
"25","PRIEST G",1994,"IS ARITHMETIC CONSISTENT","MIND"
"26","WILSON ROBERT A",1994,"WIDE COMPUTATIONALISM","MIND"
"27","HOLTON RICHARD",1994,"ATTITUDE ASCRIPTIONS AND INTERMEDIATE SCOPE","MIND"
"28","MATTHEWS ROBERT J",1994,"THE MEASURE OF MIND","MIND"
"29","SULLIVAN PM",1994,"PROBLEMS FOR A CONSTRUCTION OF MEANING AND INTENTION","MIND"
"30","BOOLOS GEORGE",1994,"GODEL 2ND INCOMPLETENESS THEOREM EXPLAINED IN WORDS OF ONE SYLLABLE","MIND"
"31","HEAL J",1994,"MOORE PARADOX - A WITTGENSTEINIAN APPROACH","MIND"
"32","PRIEST G",1994,"THE STRUCTURE OF THE PARADOXES OF SELF-REFERENCE","MIND"
"33","HYDE D",1994,"WHY HIGHER-ORDER VAGUENESS IS A PSEUDO-PROBLEM","MIND"
"34","TYE MICHAEL",1994,"WHY THE VAGUE NEED NOT BE HIGHER-ORDER VAGUE","MIND"
"35","SORENSEN ROY",1994,"1000 CLONES","MIND"
"36","HOSSACK K",1994,"INTOLERANT CLONES","MIND"
"37","HORGAN TERRY",1993,"FROM SUPERVENIENCE TO SUPERDUPERVENIENCE - MEETING THE DEMANDS OF A
MATERIAL WORLD","MIND"
"38","KVART I",1993,"MEDIATED REFERENCE AND PROPER-NAMES","MIND"
"39","LOWE E J",1993,"THE CAUSAL AUTONOMY OF THE MENTAL","MIND"
"40","STERN R",1993,"DID HEGEL HOLD AN IDENTITY THEORY OF TRUTH","MIND"
"41","CURRIE G",1993,"INTERPRETATION AND OBJECTIVITY","MIND"
"42","RUMFITT I",1993,"CONTENT AND CONTEXT - THE PARATACTIC THEORY REVISITED AND REVISED","MIND"
"43","SHAPIRO STEWART",1993,"MODALITY AND ONTOLOGY","MIND"
"44","PAGE J",1993,"PARSONS ON MATHEMATICAL INTUITION","MIND"
"45","PARSONS C",1993,"ON SOME DIFFICULTIES CONCERNING INTUITION AND INTUITIVE KNOWLEDGE","MIND"
"46","ANTONY MICHAEL V",1993,"SOCIAL-RELATIONS AND THE INDIVIDUATION OF THOUGHT","MIND"
"47","DRETSKE F",1993,"CONSCIOUS EXPERIENCE","MIND"
"48","FIELD HARTRY",1993,"THE CONCEPTUAL CONTINGENCY OF MATHEMATICAL OBJECTS","MIND"
"49","MILLS EUGENE",1993,"DIVIDING WITHOUT REDUCING - BODILY FISSION AND PERSONAL IDENTITY","MIND"
"50","TAYLOR B",1993,"ON NATURAL PROPERTIES IN METAPHYSICS","MIND"
"51","SOSA DAVID",1993,"CONSEQUENCES OF CONSEQUENTIALISM","MIND"
"52","SPREVAK MARK",2009,"EXTENDED COGNITION AND FUNCTIONALISM","JOURNAL OF PHILOSOPHY"
"53","WRIGHT CRISPIN",1993,"ON AN ARGUMENT ON BEHALF OF CLASSICAL NEGATION","MIND"
"54","SCHROEDER MARK",2013,"TWO ROLES FOR PROPOSITIONS: CAUSE FOR DIVORCE?","NOUS"
"55","WILLIAMS J ROBERT G",2013,"PART-INTRINSICALITY","NOUS"
"56","CLARKE-DOANE JUSTIN",2013,"WHAT IS ABSOLUTE UNDECIDABILITY?","NOUS"
"57","HEDDEN BRIAN",2013,"INCOHERENCE WITHOUT EXPLOITABILITY","NOUS"
"58","SCHOUBYE ANDERS J",2013,"GHOSTS, MURDERERS, AND THE SEMANTICS OF DESCRIPTIONS","NOUS"
"59","CARIANI FABRIZIO",2013,"`OUGHT' AND RESOLUTION SEMANTICS","NOUS"
